Order,Topic_Order,Topic,Subtopic,Problem_Name,Difficulty,LeetCode_URL,YouTube_URL
131,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 2D Arrays","Search in 2D matrix - II",Hard,"https://leetcode.com/problems/search-a-2d-matrix-ii/","https://youtu.be/9ZbB397jU4k"
132,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 2D Arrays","Find Peak Element - II",Medium,"https://leetcode.com/problems/find-a-peak-element-ii/","https://youtu.be/nGGp5XBzC4g?si=WCop5C6Azj5gAELH"
133,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 2D Arrays","Matrix Median",Hard,"","https://youtu.be/Q9wXgdxJq48?si=ScI_0uzJh7yg8nrX"
134,5,"Strings [Basic and Medium]","Basic and Easy String Problems","Remove Outermost Parentheses",Medium,"https://leetcode.com/problems/remove-outermost-parentheses/",""
135,5,"Strings [Basic and Medium]","Basic and Easy String Problems","Reverse words in a given string / Palindrome Check",Medium,"https://leetcode.com/problems/reverse-words-in-a-string/",""
136,5,"Strings [Basic and Medium]","Basic and Easy String Problems","Largest Odd Number in a String",Easy,"https://leetcode.com/problems/largest-odd-number-in-string/",""
137,5,"Strings [Basic and Medium]","Basic and Easy String Problems","Longest Common Prefix",Easy,"https://leetcode.com/problems/longest-common-prefix/",""
138,5,"Strings [Basic and Medium]","Basic and Easy String Problems","Isomorphic String",Easy,"https://leetcode.com/problems/isomorphic-strings/",""
139,5,"Strings [Basic and Medium]","Basic and Easy String Problems","Rotate String",Easy,"https://leetcode.com/problems/rotate-string/",""
140,5,"Strings [Basic and Medium]","Basic and Easy String Problems","Check if two strings are anagram of each other",Easy,"https://leetcode.com/problems/valid-anagram/#:~:text=Given%20two%20strings%20s%20and,the%20original%20letters%20exactly%20once.&text=Constraints%3A,.length%20%3C%3D%205%20*%2010",""
141,5,"Strings [Basic and Medium]","Medium String Problems","Sort Characters by Frequency",Easy,"https://leetcode.com/problems/sort-characters-by-frequency/",""
142,5,"Strings [Basic and Medium]","Medium String Problems","Maximum Nesting Depth of the Parentheses",Medium,"https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/",""
143,5,"Strings [Basic and Medium]","Medium String Problems","Roman to Integer",Medium,"https://leetcode.com/problems/roman-to-integer/",""
144,5,"Strings [Basic and Medium]","Medium String Problems","String to Integer (atoi)",Medium,"https://leetcode.com/problems/string-to-integer-atoi/",""
145,5,"Strings [Basic and Medium]","Medium String Problems","Count Number of Substrings",Easy,"",""
146,5,"Strings [Basic and Medium]","Medium String Problems","Longest Palindromic Substring",Medium,"https://leetcode.com/problems/longest-palindromic-substring/",""
147,5,"Strings [Basic and Medium]","Medium String Problems","Sum of Beauty of All Substrings",Medium,"https://leetcode.com/problems/sum-of-beauty-of-all-substrings/",""
148,5,"Strings [Basic and Medium]","Medium String Problems","Reverse every word in a string",Medium,"https://leetcode.com/problems/reverse-words-in-a-string/",""
149,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Learn 1D LinkedList","Introduction to Singly LinkedList",Easy,"","https://youtu.be/Nq7ok-OyEpg?si=9PR1o8OPRWil7fRA"
