ID,Problem Name,Topic,Difficulty,LeetCode URL,YouTube URL
123,"Book Allocation Problem","Binary Search [1D, 2D Arrays, Search Space]",Hard,"","https://www.youtube.com/watch?v=gYmWHvRHu-s&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=69"
124,"Split array - largest sum","Binary Search [1D, 2D Arrays, Search Space]",Hard,"https://leetcode.com/problems/split-array-largest-sum/","https://www.youtube.com/watch?v=thUd_WJn6wk&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=20"
125,"Painter's Partition","Binary Search [1D, 2D Arrays, Search Space]",Medium,"","https://www.youtube.com/watch?v=thUd_WJn6wk&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=20"
126,"Minimize Max Distance to Gas Station","Binary Search [1D, 2D Arrays, Search Space]",Hard,"https://leetcode.com/problems/minimize-max-distance-to-gas-station/","https://www.youtube.com/watch?v=kMSBvlZ-_HA&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=21"
127,"Median of 2 sorted arrays","Binary Search [1D, 2D Arrays, Search Space]",Hard,"https://leetcode.com/problems/median-of-two-sorted-arrays/","https://www.youtube.com/watch?v=NTop3VTjmxk&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=65"
128,"Kth element of 2 sorted arrays","Binary Search [1D, 2D Arrays, Search Space]",Medium,"","https://youtu.be/D1oDwWCq50g"
129,"Find row with maximum 1's","Binary Search [1D, 2D Arrays, Search Space]",Easy,"","https://youtu.be/SCz-1TtYxDI"
130,"Search in a 2D matrix","Binary Search [1D, 2D Arrays, Search Space]",Hard,"https://leetcode.com/problems/search-a-2d-matrix/","https://youtu.be/ZYpYur0znng"
131,"Search in 2D matrix - II","Binary Search [1D, 2D Arrays, Search Space]",Hard,"https://leetcode.com/problems/search-a-2d-matrix-ii/","https://youtu.be/9ZbB397jU4k"
132,"Find Peak Element - II","Binary Search [1D, 2D Arrays, Search Space]",Medium,"https://leetcode.com/problems/find-a-peak-element-ii/","https://youtu.be/nGGp5XBzC4g?si=WCop5C6Azj5gAELH"
133,"Matrix Median","Binary Search [1D, 2D Arrays, Search Space]",Hard,"","https://youtu.be/Q9wXgdxJq48?si=ScI_0uzJh7yg8nrX"
134,"Remove Outermost Parentheses","Strings [Basic and Medium]",Medium,"https://leetcode.com/problems/remove-outermost-parentheses/",""
135,"Reverse words in a given string / Palindrome Check","Strings [Basic and Medium]",Medium,"https://leetcode.com/problems/reverse-words-in-a-string/",""
